SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
SAMPLE_22	0.71716881264368	0.0195135372687213	0.985203150197858	0.882116459287199	0.12368698406185	0.277786122930738	0.631909425465594	0.0141569739910721	0.309740255259427	0.344288606608532	0.859896171084456	0.995474240483712	0.684203858555843	0.0462893081010077	0	0.105318596530285	0.911329009272276	0.334492519685843	0.770664800657709	0.99873823917957	0.998989688568532	0.608063492093556	0.994930119985495	0.957518528018102	0.140202432843102	0.716450328089624	0.0692608127546021	0.0283250549825202	0.964105783705822	0.0162277594574419	0.991735030079622	0.994808840293696	0.097427979676284	0.141704110916869	0.196520436137254
SAMPLE_23	0.71613577023499	0.106153926177386	0.998051781735695	0.895370711948739	0.127593134549253	0.281662947335769	0.644480785689249	0.104771280556474	0.316575019448019	0.343891134223861	0.859919571045288	0.995332064308092	0.685083077909137	0.104807942155076	0.105318596530285	0	0.852464558535916	0.337204563739209	0.773175066179445	0.999117638252984	0.999382962864237	0.618209812129521	0.996193957060217	0.959163205229467	0.140214429424266	0.716450328089624	0.105524328506024	0.105432273365276	0.922356944428539	0.106741913035499	0.992012301393804	0.994735293757125	0.0866415622150533	0.142328263588134	0.208502012673323
SAMPLE_24	0.787010234984546	0.895001205951084	0.946575243809469	0.90152759085321	0.910143178720333	0.871786679577035	0.8535096542018	0.907790807320612	0.82745407569141	0.792456215671518	0.864315740863665	0.96607801671641	0.768139017934225	0.903027231705097	0.911329009272276	0.852464558535916	0	0.788234258903073	0.792689725090661	0.992525538044671	0.993604170628374	0.748075014905833	0.90763144539668	0.909925862265107	0.908640083105597	0.861469620578254	0.896938728695621	0.894175270994354	0.759098266284306	0.910203751075078	0.940192464117869	0.85695476024473	0.871924133161235	0.903980285594064	0.863248676424254
SAMPLE_25	0.627305582231214	0.319724883420494	0.87945924551535	0.848942215412233	0.226997539624914	0.177884028117842	0.505554371429998	0.336953336776519	0.188975140961326	0.262705797929886	0.810265409594945	0.955806630007793	0.573375520345288	0.318069618320015	0.334492519685843	0.337204563739209	0.788234258903073	0	0.66309549315883	0.98217446920154	0.983556343349728	0.48015946131067	0.832335718618771	0.897569453602955	0.33259541010794	0.598762264548856	0.303504840945886	0.317255870006184	0.739091430326524	0.334834109211091	0.913036936853409	0.814067068911403	0.314677400808628	0.326311112892828	0.226323795345172
SAMPLE_26	0.189149062723786	0.755681590038529	0.992406160761559	0.86720740770318	0.752095042955832	0.741850222076175	0.724945609378874	0.773607778481666	0.733973841546523	0.492065692229564	0.845641033731206	0.966135573333788	0.495695711774098	0.731101750272153	0.770664800657709	0.773175066179445	0.792689725090661	0.66309549315883	0	0.520208457266996	0.69650155703751	0.435707640924106	0.654291843420767	0.695643663460224	0.773014797125675	0.761863584875551	0.748610769516906	0.762135983142189	0.707254471767016	0.77360242387317	0.99065006360704	0.884348247497929	0.757863841979057	0.762514209712984	0.759879164364741
SAMPLE_27	0.669337566106213	0.99233849619847	0.992332069460779	0.989165345354025	0.998685869116749	0.931231440283764	0.904203920775397	0.999117638252985	0.992191348513988	0.990400473376642	0.992879903971333	0.96952023806874	0.991399793866375	0.960612737606197	0.99873823917957	0.999117638252984	0.992525538044671	0.98217446920154	0.520208457266996	0	0.683565034549673	0.811797709691984	0.689870104225139	0.775670243490979	0.998604083698152	0.993121980490137	0.992032946251208	0.992725964533602	0.992483984887326	0.998188871484242	0.998507219774123	0.898517982840775	0.985663589006773	0.991336067148439	0.989390976334172
SAMPLE_28	0.692113232181811	0.998535190039385	0.517874331748935	0.510820539664734	0.997946572296051	0.997870749657574	0.99862763482588	0.999266959882714	0.99700778634789	0.998997941441415	0.997433125515227	0.488834891054214	0.997637788462922	0.967902037695325	0.998989688568532	0.999382962864237	0.993604170628374	0.983556343349728	0.69650155703751	0.683565034549673	0	0.706485622243242	0.343509065457319	0.302464823460444	0.884468870045892	0.997433125515227	0.997457923671723	0.996377795222043	0.998783999979346	0.997160568668712	0.517360164386251	0.992028320514756	0.961129851950533	0.999227469506025	0.997376358098737
SAMPLE_29	0.376322029806718	0.603678071405165	0.873554927345104	0.736375820683537	0.609010352944836	0.5651019018561	0.550125962410158	0.619930497118704	0.536207787267349	0.452753021017351	0.810302204922867	0.905958086709745	0.488389316366522	0.564678200584884	0.608063492093556	0.618209812129521	0.748075014905833	0.48015946131067	0.435707640924106	0.811797709691984	0.706485622243242	0	0.723221436782957	0.715845926635019	0.587260498829897	0.66623997231638	0.592319026061688	0.602221490396853	0.748848133380292	0.618540144102037	0.916557436179442	0.846550871185882	0.561313171430351	0.61018088709512	0.528030268356066
SAMPLE_3	0.650705523406526	0.978644266799713	0.466512630830714	0.628441217838864	0.993973742430533	0.95194389135385	0.859740781804192	0.996222491056933	0.763279750237964	0.957652215465373	0.94732250639999	0.588364294559671	0.927503987420884	0.955712499175236	0.994930119985495	0.996193957060217	0.90763144539668	0.832335718618771	0.654291843420767	0.689870104225139	0.343509065457319	0.723221436782957	0	0.39095892043535	0.88173438200681	0.773240155796566	0.978784580083823	0.981425678307348	0.904132063965516	0.993315055908177	0.558384227914698	0.796578498489757	0.951517417329664	0.988391795241291	0.854225496940162
SAMPLE_30	0.693498513185342	0.940498638210715	0.434653170682071	0.373968598529426	0.955688060505064	0.950875210399861	0.93405772525593	0.959185842518968	0.920394322597462	0.91330010856504	0.929202630001569	0.295518009173957	0.913594810845336	0.918127094150489	0.957518528018102	0.959163205229467	0.909925862265107	0.897569453602955	0.695643663460224	0.775670243490979	0.302464823460444	0.715845926635019	0.39095892043535	0	0.843469397571297	0.946511993400894	0.94917606138771	0.951453681516682	0.930290780667685	0.958282301069323	0.319213424241417	0.944217247900846	0.920032065421758	0.952195684421607	0.950300144929279
