SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
SAMPLE_28	0.827586206896552	0.833333333333333	0.885714285714286	0.804878048780488	0.875	0.91304347826087	0.945454545454545	0.916666666666667	0.8	0.92	0.842105263157895	0.647058823529412	0.833333333333333	0.869565217391304	0.857142857142857	0.947368421052632	0.895833333333333	0.91566265060241	0.8	0.684210526315789	0	0.764705882352941	0.774193548387097	0.533333333333333	0.894736842105263	0.88	0.884615384615385	0.818181818181818	0.888888888888889	0.6	0.722222222222222	0.897435897435897	0.783783783783784	0.92	0.909090909090909
SAMPLE_29	0.808510638297872	0.875	0.644444444444444	0.551020408163265	0.710526315789474	0.736842105263158	0.805970149253731	0.857142857142857	0.761904761904762	0.833333333333333	0.842105263157895	0.714285714285714	0.717948717948718	0.702702702702703	0.756756756756757	0.894736842105263	0.828125	0.808510638297872	0.82051282051282	0.763157894736842	0.764705882352941	0	0.8	0.777777777777778	0.868421052631579	0.888888888888889	0.785714285714286	0.702127659574468	0.790697674418605	0.65625	0.815789473684211	0.839285714285714	0.711538461538462	0.804878048780488	0.619047619047619
SAMPLE_3	0.818181818181818	0.896551724137931	0.704545454545455	0.781818181818182	0.902439024390244	0.785714285714286	0.882352941176471	0.926829268292683	0.545454545454545	0.875	0.787878787878788	0.586206896551724	0.82051282051282	0.842105263157895	0.894736842105263	0.944444444444444	0.873015873015873	0.826086956521739	0.8	0.805555555555556	0.774193548387097	0.8	0	0.75	0.916666666666667	0.647058823529412	0.794871794871795	0.787234042553192	0.857142857142857	0.7	0.586206896551724	0.729166666666667	0.788461538461539	0.902439024390244	0.851063829787234
SAMPLE_30	0.838709677419355	0.769230769230769	0.861111111111111	0.813953488372093	0.884615384615385	0.893617021276596	0.928571428571429	0.962962962962963	0.769230769230769	0.84	0.736842105263158	0.684210526315789	0.888888888888889	0.782608695652174	0.869565217391304	0.952380952380952	0.92156862745098	0.917647058823529	0.7	0.65	0.533333333333333	0.777777777777778	0.75	0	0.85	0.888888888888889	0.851851851851852	0.828571428571429	0.896551724137931	0.647058823529412	0.75	0.875	0.825	0.884615384615385	0.882352941176471
SAMPLE_31	0.870967741935484	0.75	0.918918918918919	0.91304347826087	0.88	0.914893617021277	0.964912280701754	0.92	0.892857142857143	0.833333333333333	0.904761904761905	0.8	0.84	0.875	0.863636363636364	0.894736842105263	0.92	0.941860465116279	0.863636363636364	0.869565217391304	0.894736842105263	0.868421052631579	0.916666666666667	0.85	0	0.925925925925926	0.888888888888889	0.857142857142857	0.892857142857143	0.777777777777778	0.857142857142857	0.952380952380952	0.904761904761905	0.833333333333333	0.911764705882353
SAMPLE_32	0.833333333333333	0.9	0.794871794871795	0.86	0.970588235294118	0.84	0.9	0.903225806451613	0.642857142857143	0.939393939393939	0.8	0.652173913043478	0.8	0.9375	0.967741935483871	0.962962962962963	0.87037037037037	0.898876404494382	0.933333333333333	0.935483870967742	0.88	0.888888888888889	0.647058823529412	0.888888888888889	0.925925925925926	0	0.766666666666667	0.794871794871795	0.8125	0.791666666666667	0.652173913043478	0.785714285714286	0.895833333333333	0.939393939393939	0.871794871794872
SAMPLE_33	0.837837837837838	0.85	0.8	0.791666666666667	0.8	0.795918367346939	0.824561403508772	0.833333333333333	0.655172413793103	0.8	0.76	0.72	0.678571428571428	0.793103448275862	0.821428571428572	0.884615384615385	0.872727272727273	0.862068965517241	0.821428571428572	0.785714285714286	0.884615384615385	0.785714285714286	0.794871794871795	0.851851851851852	0.888888888888889	0.766666666666667	0	0.736842105263158	0.7	0.75	0.814814814814815	0.844444444444444	0.8	0.8	0.714285714285714
SAMPLE_34	0.822222222222222	0.862068965517241	0.816326530612245	0.716981132075472	0.82051282051282	0.767857142857143	0.833333333333333	0.815789473684211	0.710526315789474	0.789473684210526	0.828571428571429	0.727272727272727	0.575757575757576	0.783783783783784	0.805555555555556	0.916666666666667	0.819672131147541	0.815217391304348	0.771428571428571	0.777777777777778	0.818181818181818	0.702127659574468	0.787234042553192	0.828571428571429	0.857142857142857	0.794871794871795	0.736842105263158	0	0.710526315789474	0.709677419354839	0.8	0.830188679245283	0.666666666666667	0.685714285714286	0.72093023255814
SAMPLE_35	0.777777777777778	0.857142857142857	0.86046511627907	0.843137254901961	0.806451612903226	0.867924528301887	0.885245901639344	0.666666666666667	0.787878787878788	0.84375	0.814814814814815	0.777777777777778	0.689655172413793	0.838709677419355	0.827586206896552	0.888888888888889	0.811320754716981	0.888888888888889	0.827586206896552	0.870967741935484	0.888888888888889	0.790697674418605	0.857142857142857	0.896551724137931	0.892857142857143	0.8125	0.7	0.710526315789474	0	0.807692307692308	0.862068965517241	0.918367346938776	0.777777777777778	0.806451612903226	0.82051282051282
SAMPLE_4	0.703703703703704	0.75	0.75	0.75	0.88	0.785714285714286	0.865384615384615	0.875	0.708333333333333	0.782608695652174	0.647058823529412	0.4	0.681818181818182	0.714285714285714	0.863636363636364	0.894736842105263	0.851063829787234	0.890243902439024	0.684210526315789	0.631578947368421	0.6	0.65625	0.7	0.647058823529412	0.777777777777778	0.791666666666667	0.75	0.709677419354839	0.807692307692308	0	0.588235294117647	0.777777777777778	0.756756756756757	0.833333333333333	0.766666666666667
